Country,UrbanArea,Population,Year,BaseYearPopulationEstimate,LandAreaSquareMiles,Density,LandAreaKm2,Density,BaseYear,PopulationSource,LandAreaSource
India,"Surat, GJ","5447000",2015,"4585000",90,"60500",233,"23400",2011,A,B
Italy,Milan,"5257000",2015,"5200000",730,"7200","1891","2800",2010,C,B
China,"Suzhou, JS","5246000",2015,"4000000",435,"12100","1127","4700",2010,C,B
Russia,St. Petersburg,"5126000",2015,"5050000",520,"9900","1347","3800",2010,C,B
Sudan,Khartoum,"5125000",2015,"5125000",360,"14200",932,"5500",2015,D,B
United States,"Atlanta, GA","5015000",2015,"4515000","2645","1700","6851",7002010,A,A
China,"Zhengzhou, HEN","4942000",2015,"4175000",320,"15400",829,"6000",2010,C,B
United States,"Washington, DC-VA-MD","4889000",2015,"4587000","1322","3500","3424","1400",2010,A,A
Indonesia,Surabaya,"4881000",2015,"4650000",260,"18800",673,"7200",2010,C,B
China,"Harbin, HL","4815000",2015,"4350000",220,"21900",570,"8500",2010,C,B
Ivory Coast,Abidjan,"4800000",2015,"4800000",125,"38400",324,"14800",2015,D,B
Myanmar,Yangon,"4800000",2015,"4800000",210,"22900",544,"8800",2015,D,B
Kenya,Nairobi,"4738000",2015,"3600000",215,"22000",557,"8500",2008,C,B
Spain,Barcelona,"4693000",2015,"4500000",415,"11300","1075","4400",2011,C,B
Egypt,Alexandria,"4689000",2015,"4350000",113,"41500",293,"16000",2011,C,B
Afghanistan,Kabul,"4635000",2015,"4635000",100,"46400",259,"17900",2015,D,B
Mexico,Guadalajara,"4603000",2015,"4250000",290,"15900",751,"6100",2010,C,B
Turkey,Ankara,"4538000",2015,"4150000",255,"17800",660,"6900",2011,C,B
Brazil,Belo Horizonte,"4517000",2015,"4300000",420,"10800","1088","4200",2010,C,B
United States,"Boston, MA-NH-RI","4478000",2015,"4407000","2056","2100","5325",8002010,N,N
China,"Xiamen, FJ","4420000",2015,"3200000",225,"19600",583,"7600",2010,C,B
Kuwait,Kuwait,"4283000",2015,"3775000",275,"15600",712,"6000",2012,C,B
Tanzania,Dar es Salaam,"4219000",2015,"3200000",220,"19200",570,"7400",2010,C,B
United States,"Phoenix, AZ","4194000",2015,"3826000","1234","3100","3196","1300",2010,N,N
China,"Dalian, LN","4183000",2015,"3650000",300,"13900",777,"5400",2010,C,B
Ghana,Accra,"4145000",2015,"3750000",375,"11100",971,"4300",2010,C,B
Mexico,Monterrey,"4083000",2015,"3750000",345,"11800",894,"4600",2010,C,B
Germany,Berlin,"4069000",2015,"4000000",520,"7800","1347","3000",2011,C,B
Australia,"Sydney, NSW","4036000",2015,"3908000",786,"5000","2037","2000",2011,A,A
China,"Fuzhou, FJ","3962000",2015,"3425000",170,"23300",440,"9000",2010,C,B
Indonesia,Medan,"3942000",2015,"3700000",185,"21300",479,"8200",2010,C,B
United Arab Emirates,Dubai,"3933000",2015,"3100000",520,"7600","1347","2900",2010,C,B
Australia,"Melbourne, VIC","3906000",2015,"3708000",982,"3800","2543","1500",2011,A,A
Italy,Rome,"3906000",2015,"3800000",430,"9100","1114","3500",2010,C,B
South Korea,Busan,"3906000",2015,"4000000",155,"25200",401,"9700",2010,C,B
South Africa,Cape Town,"3812000",2015,"3600000",315,"12100",816,"4700",2011,C,B
China,"Jinan, SD","3789000",2015,"3325000",280,"13500",725,"5200",2010,C,B
China,"Ningbo, ZJ","3753000",2015,"3125000",285,"13200",738,"5100",2010,C,B
Viet Nam,Hanoi,"3715000",2015,"3250000",180,"20600",466,"8000",2012,C,B
Italy,Naples,"3706000",2015,"3725000",395,"9400","1023","3600",2010,C,B
China,"Taiyuan, SAX","3702000",2015,"3350000",200,"18500",518,"7100",2010,C,B
Saudi Arabia,Jiddah,"3677000",2015,"3230000",325,"11300",842,"4400",2010,C,B
United States,"Detroit, MI","3672000",2015,"3734000","1337","2800","3463","1100",2010,A,A
China,"Hefei, AH","3665000",2015,"3350000",280,"13100",725,"5100",2010,C,B
China,"Changsha, HUN","3657000",2015,"3125000",240,"15200",622,"5900",2010,C,B
China,"Kunming, YN","3649000",2015,"3275000",275,"13300",712,"5100",2010,C,B
China,"Wuxi, JS","3597000",2015,"3250000",285,"12600",738,"4900",2010,C,B
Colombia,Medellín,"3568000",2015,"2975000",88,"40500",228,"15700",2005,C,B
Pakistan,Faisalabad,"3560000",2015,"3560000",70,"50900",181,"19600",2015,D,B
Syria,Aleppo,"3560000",2015,"3560000",100,"35600",259,"13700",2015,D,B
Nigeria,Kano,"3550000",2015,"3550000",97,"36600",251,"14100",2015,D,B
Canada,"Montréal, QC","3536000",2015,"3408000",597,"5700","1546","2300",2011,A,A
Senegal,Dakar,"3520000",2015,"3520000",75,"46900",194,"18100",2015,D,B
Greece,Athens,"3484000",2015,"3500000",225,"15500",583,"6000",2011,C,B
China,"Changzhou, JS","3425000",2015,"3000000",320,"10700",829,"4100",2010,C,B
South Africa,Durban,"3421000",2015,"3300000",410,"8300","1062","3200",2011,C,B
Brazil,Porto Alegre,"3413000",2015,"3300000",310,"11000",803,"4300",2010,C,B
India,"Jaipur, RJ","3409000",2015,"3073000",160,"21300",414,"8200",2011,A,B
Brazil,Fortaleza,"3401000",2015,"3125000",200,"17000",518,"6600",2010,C,B
Ethiopia,Addis Ababa,"3376000",2015,"3125000",170,"19900",440,"7700",2012,C,B
China,"Changchun, JL","3368000",2015,"3050000",205,"16400",531,"6300",2010,C,B
China,"Shijiazhuang, HEB","3367000",2015,"2875000",200,"16800",518,"6500",2010,C,B
Brazil,Recife,"3347000",2015,"3200000",160,"20900",414,"8100",2010,C,B
Iran,Mashhad,"3294000",2015,"3000000",115,"28600",298,"11100",2011,C,B
United States,"Seattle, WA","3218000",2015,"3059000","1010","3000","2616","1200",2010,A,A
Morocco,Casablanca,"3211000",2015,"2900000",105,"30600",272,"11800",2004,C,B
Brazil,Salvador,"3190000",2015,"3000000",135,"23600",350,"9100",2010,C,B
China,"Urumqi, XJ","3184000",2015,"2625000",190,"16800",492,"6500",2010,C,B
India,"Lucknow, UP","3184000",2015,"2901000",125,"25500",324,"9800",2011,A,B
Bangladesh,Chittagong,"3176000",2015,"2900000",43,"73900",111,"28500",2011,C,B
China,"Wenzhou, ZJ","3169000",2015,"2675000",125,"25400",324,"9800",2010,C,B
Nigeria,Ibadan,"3160000",2015,"3160000",180,"17600",466,"6800",2015,D,B
Turkey,Izmir,"3112000",2015,"2900000",115,"27100",298,"10400",2011,C,B
Brazil,Curitiba,"3102000",2015,"2825000",325,"9500",842,"3700",2010,C,B
United States,"San Diego, CA","3086000",2015,"2957000",732,"4000","1896","1600",2010,A,A
Cameroon,Yaounde,"3060000",2015,"3060000",89,"34400",231,"13300",2015,D,B
China,"Zhangjiaggang-Jiangyin, (Suzhou-Wuxi) JS","3056000",2010,"2330000",260,"11800",673,"4500",2010,C,B
India,"Kanpur, UP","3037000",2015,"2920000",80,"38000",207,"14700",2011,A,B
China,"Zhongshan, GD","3031000",2015,"2300000",265,"11400",686,"4400",2010,C,B
Yemen,Sana,"2980000",2015,"2980000",86,"34700",223,"13400",2015,D,B
Israel,Tel Aviv,"2979000",2015,"2750000",185,"16100",479,"6200",2010,C,B
China,"Guiyang, GZ","2955000",2015,"2600000",125,"23600",324,"9100",2010,C,B
Cameroon,Douala,"2940000",2015,"2940000",79,"37200",205,"14400",2015,D,B
China: Taiwan,Taichung,"2935000",2015,"2500000",190,"15400",492,"6000",2004,C,B
South Africa,Pretoria,"2927000",2015,"2550000",475,"6200","1230","2400",2011,C,B
Dominican Republic,Santo Domingo,"2925000",2015,"2925000",115,"25400",298,"9800",2015,D,B
Pakistan,Hyderabad,"2920000",2015,"2650000",28,"104300",73,"40300",2011,C,B
Venezuela,Caracas,"2861000",2015,"2825000",114,"25100",295,"9700",2011,C,B
North Korea,Pyongyang,"2850000",2015,"2850000",68,"41900",176,"16200",2015,D,B
India,"Kalyan, MH","2841000",2011,"2650000",36,"78900",93,"30500",2011,C,B
Paraguay,Asuncion,"2827000",2015,"2500000",250,"11300",648,"4400",2010,C,B
United States,"Minneapolis-St. Paul, MN-WI","2771000",2015,"2651000","1022","2600","2647","1000",2010,A,A
China,"Lanzhou, GS","2703000",2015,"2420000",100,"27000",259,"10400",2010,C,B
Burkina Faso,Ouagadougou,"2700000",2015,"2700000",180,"15000",466,"5800",2015,D,B
Ecuador,Guayaquil,"2700000",2015,"2700000",85,"31800",220,"12300",2015,D,B
India,"Nagpur, MH","2668000",2015,"2498000",95,"28100",246,"10800",2011,A,B
Portugal,Lisbon,"2666000",2015,"2600000",370,"7200",958,"2800",2011,C,B
Azerbaijan,Baku,"2661000",2015,"2300000",425,"6300","1101","2400",2009,C,B
Netherlands,Rotterdam-Hague,"2660000",2015,"2650000",380,"7000",984,"2700",2013,C,B
Brazil,Campinas,"2645000",2015,"2450000",360,"7300",932,"2800",2010,C,B
United Kingdom,Manchester,"2639000",2015,"2553000",243,"10500",630,"4200",2011,A,A
