Country,UrbanArea,Population,Year,BaseYearPopulationEstimate,LandAreaSquareMiles,Density,LandAreaKm2,Density,BaseYear,PopulationSource,LandAreaSource
Qatar,Doha,"1564000",2015,"1300000",225,"7000",583,"2700",2010,C,B
South Korea,Daejon,"1564000",2015,"1500000",51,"30700",132,"11800",2010,C,B
China,"Yangzhou, JS","1561000",2015,"1400000",90,"17300",233,"6700",2010,C,B
Spain,Valencia,"1561000",2015,"1525000",105,"14900",272,"5700",2011,C,B
China,"Zhuhai, GD","1547000",2015,"1375000",105,"14700",272,"5700",2010,C,B
India,"Meerut, UP","1541000",2015,"1425000",40,"38500",104,"14900",2011,A,B
India,"Varanasi, UP","1536000",2015,"1435000",39,"39400",101,"15200",2011,A,B
United States,"Charlotte, NC-SC","1535000",2015,"1249000",741,"1700","1919",8002010,A,A
Italy,Turin,"1521000",2015,"1500000",145,"10500",376,"4100",2010,C,B
China,"Yantai, SD","1520000",2015,"1300000",101,"15000",262,"5800",2010,C,B
China,"Anshan, LN","1516000",2015,"1450000",140,"10800",363,"4200",2010,C,B
Kazakhstan,Almaty,"1500000",2015,"1500000",162,"9300",420,"3600",2015,D,B
Panama,Panama City,"1498000",2015,"1350000",85,"17600",220,"6800",2010,C,B
China,"Cixi (Ningbo), ZJ","1490000",2015,"1225000",160,"9300",414,"3600",2010,C,B
Nigeria,Benin City,"1490000",2015,"1490000",88,"16900",228,"6500",2015,D,B
Russia,Novosibirsk,"1486000",2015,"1470000",240,"6200",622,"2400",2010,C,B
Indonesia,Makassar,"1484000",2015,"1325000",69,"21500",179,"8300",2010,C,B
Sweden,Stockholm,"1484000",2015,"1373000",147,"9300",382,"3900",2010,A,A
United States,"Columbus, OH","1481000",2015,"1368000",510,"2700","1321","1100",2010,A,A
Venezuela,Valencia,"1477000",2015,"1400000",140,"10600",363,"4100",2011,C,B
Portugal,Porto,"1474000",2015,"1450000",300,"4900",777,"1900",2011,C,B
Mexico,Leon,"1469000",2015,"1325000",90,"16300",233,"6300",2010,C,B
China,"Putian, FJ","1468000",2015,"1150000",175,"8400",453,"3200",2010,C,B
United States,"Virginia Beach-Norfolk, VA","1463000",2015,"1440000",515,"2800","1334","1100",2010,A,A
China,"Wuhu, AH","1456000",2015,"1150000",62,"23500",161,"9100",2010,C,B
India,"Jamshedpur, JH","1443000",2015,"1337000",42,"34400",109,"13300",2011,A,B
Ukraine,Kharkov,"1440000",2015,"1440000",180,"8000",466,"3100",2015,D,B
Indonesia,Palembang,"1434000",2015,"1400000",85,"16900",220,"6500",2010,C,B
China,"Zhangzhou, FJ","1410000",2015,"1200000",135,"10400",350,"4000",2010,C,B
India,"Srinagar, JK","1409000",2015,"1273000",49,"28800",127,"11100",2011,A,B
United States,"Milwaukee, WI","1408000",2015,"1376000",546,"2500","1414","1000",2010,A,A
China,"Anyang, HEN","1401000",2015,"1130000",70,"20000",181,"7700",2010,C,B
China,"Jiangmen, GD","1399000",2015,"1300000",135,"10400",350,"4000",2010,C,B
France,Marseille,"1397000",2015,"1350000",175,"8000",453,"3100",2010,C,B
Turkey,Gaziantep,"1394000",2015,"1250000",44,"31700",114,"12200",2011,C,B
Mexico,Ciudad Juarez,"1391000",2015,"1330000",125,"11100",324,"4300",2010,D,B
Germany,Stuttgart,"1379000",2015,"1350000",185,"7500",479,"2900",2011,C,B
Japan,Hiroshima,"1377000",2015,"1325000",110,"12500",285,"4800",2005,C,B
Russia,Yekaterinburg,"1361000",2015,"1340000",200,"6800",518,"2600",2010,C,B
New Zealand,Auckland,"1356000",2015,"1250000",210,"6500",544,"2500",2008,C,B
India,"Kollam, KL","1351000",2015,"1110000",70,"19300",181,"7500",2011,A,B
China,"Xining, QH","1345000",2015,"1175000",73,"18400",189,"7100",2010,C,B
China,"Changshu (Suzhou), JS","1344000",2015,"1075000",124,"10800",321,"4200",2010,C,B
Bahrain,Al-Manamah,"1340000",2015,"1100000",150,"8900",389,"3400",2011,C,B
India,"Jabalpur, MP","1339000",2015,"1268000",35,"38300",91,"14800",2011,A,B
Argentina,Rosario,"1338000",2015,"1264000",90,"14900",233,"5700",2010,C,B
Malaysia,Penang,"1336000",2010,"1150000",115,"11600",298,"4500",2010,C,B
India,"Raipur, CH","1329000",2015,"1123000",43,"30900",111,"11900",2011,A,B
Mexico,Torreon,"1327000",2015,"1220000",65,"20400",168,"7900",2010,D,B
China,"Fushun, LN","1324000",2015,"1325000",50,"26500",130,"10200",2010,C,B
India,"Aurangabad, MH","1324000",2015,"1189000",28,"47300",73,"18300",2011,A,B
Indonesia,Surakarta,"1318000",2015,"1275000",80,"16500",207,"6400",2010,C,B
India,"Asansol, WB","1315000",2015,"1243000",25,"52600",65,"20300",2011,A,B
Iran,Ahvaz,"1315000",2015,"1200000",90,"14600",233,"5600",2011,C,B
Czech Republic,Prague,"1310000",2015,"1310000",110,"11900",285,"4600",2015,D,B
China,"Xuzhou, JS","1301000",2015,"1175000",90,"14500",233,"5600",2010,C,B
China,"Baoding, HEB","1297000",2015,"1210000",85,"15300",220,"5900",2010,C,B
India,"Allahabad, UP","1294000",2015,"1217000",48,"27000",124,"10400",2011,A,B
Guatemala,Guatemala City,"1289000",2015,"1130000",115,"11200",298,"4300",2010,C,B
Japan,Sendai,"1277000",2015,"1330000",125,"10200",324,"3900",2010,C,B
Armenia,Yerevan,"1274000",2015,"1300000",125,"10200",324,"3900",2010,F,B
India,"Jodhpur, RJ","1266000",2015,"1138000",32,"39600",83,"15300",2011,A,B
India,"Amritsar, PB","1264000",2015,"1185000",38,"33300",98,"12800",2011,A,B
Angola,Huambo,"1260000",2015,"1260000",50,"25200",130,"9700",2015,D,B
Chad,N'Djamena,"1260000",2015,"1260000",64,"19700",166,"7600",2015,D,B
India,"Dhanbad, JH","1258000",2015,"1195000",37,"34000",96,"13100",2011,A,B
China,"Wenling (Taizhou), ZJ","1250000",2015,"1075000",45,"27800",117,"10700",2010,C,B
Mexico,Queretaro,"1249000",2015,"1100000",58,"21500",150,"8300",2010,C,B
Denmark,Copenhagen,"1248000",2015,"1180000",175,"6700",453,"2800",2010,A,A
India,"Ranchi, JH","1246000",2015,"1127000",22,"56600",57,"21900",2011,A,B
China,"Qiqihaer, HL","1241000",2015,"1160000",50,"24800",130,"9600",2010,C,B
Bolivia,Cochabamba,"1238000",2015,"1100000",98,"12600",254,"4900",2011,C,B
Mongolia,Ulaanbaatar,"1237000",2015,"1050000",90,"13700",233,"5300",2010,C,B
India,"Durg-Bhilainagar, CH","1235000",2015,"1164000",44,"28100",114,"10800",2011,A,B
Saudi Arabia,Medina,"1233000",2015,"1100000",135,"9100",350,"3500",2010,C,B
China,"Chifeng, NM","1230000",2015,"1090000",33,"37300",85,"14400",2010,C,B
Syria,Hamah,"1230000",2015,"1230000",20,"61500",52,"23700",2015,D,B
United Kingdom,Glasgow,"1220000",2015,"1220000",142,"8600",368,"3300",2015,D,A
China: Taiwan,Tainan,"1216000",2015,"1100000",80,"15200",207,"5900",2004,C,B
South Africa,Port Elizabeth,"1212000",2015,"1150000",150,"8100",389,"3100",2010,C,B
China,"Weihai,  SD","1208000",2015,"700000",42,"28800",109,"11100",2000,C,B
Finland,Helsinki,"1208000",2015,"1176000",247,"4800",641,"1900",2012,A,A
India,"Gwalior, MP","1208000",2015,"1102000",22,"54900",57,"21200",2011,A,B
China,"Dongying, SD","1206000",2015,"1060000",85,"14200",220,"5500",2010,C,B
Russia,Nizhniy Novgorod,"1201000",2015,"1250000",240,"5000",622,"1900",2010,C,B
United States,"Providence, RI-MA","1201000",2015,"1191000",545,"2200","1412",9002010,A,A
Bulgaria,Sofia,"1195000",2015,"1175000",80,"14900",207,"5800",2010,D,B
Morocco,Fez,"1193000",2015,"950000",32,"37300",83,"14400",2004,C,B
China,"Jiaxing, ZJ","1192000",2015,"950000",70,"17000",181,"6600",2010,C,B
Turkey,Konya,"1190000",2015,"1190000",50,"23800",130,"9200",2015,D,B
Canada,"Calgary, AB","1189000",2015,"1095000",272,"4000",704,"1700",2011,A,A
Japan,Hamamatsu,"1187000",2010,"1000000",100,"11900",259,"4600",2010,C,B
China,"Nantong, JS","1184000",2015,"975000",102,"11600",264,"4500",2010,C,B
China,"Xiangyang, HUB","1183000",2015,"1100000",52,"22800",135,"8800",2010,C,B
Nepal,Kathmandu,"1180000",2015,"1180000",23,"51300",60,"19800",2015,D,B
Serbia,Belgrade,"1180000",2015,"1180000",90,"13100",233,"5100",2015,D,B
India,"Vasai-Virar, MH","1179000",2011,"1100000",35,"33700",91,"13000",2011,A,B
India,"Tiruppur, TN","1177000",2015,"963000",40,"29400",104,"11400",2011,A,B
Indonesia,Denpasar,"1175000",2015,"875000",69,"17000",179,"6600",2010,C,B
Morocco,Marrakech,"1173000",2015,"850000",31,"37800",80,"14600",2004,C,B
Brazil,Vittoria,"1172000",2015,"1100000",130,"9000",337,"3500",2010,C,B
Brazil,Sao Luis,"1171000",2015,"1075000",165,"7100",427,"2700",2010,C,B
Costa Rica,San Jose,"1170000",2015,"1170000",130,"9000",337,"3500",2015,D,B
Russia,Samara,"1162000",2015,"1165000",145,"8000",376,"3100",2010,D,B
Ireland,Dublin,"1160000",2015,"1160000",175,"6600",453,"2600",2015,D,B
Myanmar,Mandalay,"1160000",2015,"1160000",33,"35200",85,"13600",2015,D,B
Russia,Kazan,"1160000",2015,"1160000",190,"6100",492,"2400",2015,D,B
China,"Zhangjiakou, HEB","1156000",2015,"1080000",50,"23100",130,"8900",2010,C,B
Russia,Omsk,"1154000",2015,"1150000",190,"6100",492,"2300",2010,C,B
United States,"Jacksonville, FL","1154000",2015,"1065000",530,"2000","1373",8002010,A,A
Congo (Dem. Rep.),Kananga,"1150000",2015,"1150000",21,"54800",54,"21100",2015,D,B
Iraq,Irbil,"1150000",2015,"1150000",29,"39700",75,"15300",2015,D,B
Russia,Chelyabinsk,"1150000",2015,"1150000",225,"5100",583,"2000",2015,D,B
Indonesia,Cirebon,"1143000",2015,"1075000",41,"27900",106,"10800",2010,C,B
China,"Huainan, AH","1142000",2015,"1060000",42,"27200",109,"10500",2010,C,B
Indonesia,Batam,"1142000",2015,"800000",80,"14300",207,"5500",2010,C,B
Australia,"Adelaide, SA","1140000",2015,"1104000",329,"3400",852,"1300",2011,A,A
India,"Kota, RJ","1138000",2015,"1001000",24,"47400",62,"18300",2011,A,B
Mexico,San Luis Potosí,"1137000",2015,"1040000",51,"22300",132,"8600",2010,D,B
Venezuela,Maracay,"1135000",2015,"1060000",85,"13400",220,"5200",2011,C,B
China,"Ruian (Wenzhou), ZJ","1134000",2015,"965000",51,"22200",132,"8600",2010,C,B
China,"Lianyungang, JS","1128000",2015,"930000",60,"18800",155,"7300",2010,C,B
Georgia,Tbilisi,"1125000",2015,"1120000",75,"15000",194,"5800",2010,D,B
India,"Chandigarh, CH-HR-PB","1124000",2015,"1026000",100,"11200",259,"4300",2011,A,B
Rwanda,Kigali,"1121000",2015,"940000",44,"25500",114,"9800",2010,C,B
Honduras,Tegucigalpa,"1120000",2015,"1120000",38,"29500",98,"11400",2015,D,B
China,"Huaibei, AH","1116000",2015,"975000",35,"31900",91,"12300",2010,C,B
Kenya,Mombasa,"1116000",2015,"940000",33,"33800",85,"13100",2010,D,B
Indonesia,Malang,"1114000",2015,"1050000",95,"11700",246,"4500",2010,D,B
Mexico,Merida,"1111000",2015,"1020000",80,"13900",207,"5400",2010,D,B
Libya,Tripoli,"1110000",2015,"1110000",75,"14800",194,"5700",2015,D,B
Spain,Seville,"1107000",2015,"1100000",105,"10500",272,"4100",2011,C,B
United States,"Memphis, TN-MS-AR","1102000",2015,"1060000",497,"2100","1287",9002010,A,A
China,"Tengzhou (Zhaoahuang), SD","1101000",2015,"910000",44,"25000",114,"9700",2010,C,B
India,"Tiruchirappalli, TN","1101000",2015,"1022000",33,"33400",85,"12900",2011,A,B
Iran,Qom,"1101000",2015,"1000000",45,"24500",117,"9400",2011,C,B
El Salvador,San Salvador,"1100000",2015,"1100000",60,"18300",155,"7100",2015,D,B
Indonesia,Pekan Baru,"1100000",2015,"1100000",26,"42300",67,"16300",2015,D,B
Liberia,Monrovia,"1100000",2015,"1100000",75,"14700",194,"5700",2015,D,B
Nigeria,Onitsha,"1100000",2015,"1100000",57,"19300",148,"7500",2015,D,B
Pakistan,Quetta,"1100000",2015,"1100000",48,"22900",124,"8800",2015,D,B
India,"Bareilly, UP","1094000",2015,"980000",32,"34200",83,"13200",2011,A,B
Israel,Haifa,"1090000",2015,"1090000",88,"12400",228,"4800",2015,D,B
Niger,Niamey,"1090000",2015,"1090000",50,"21800",130,"8400",2015,C,B
Russia,Rostov,"1090000",2015,"1090000",160,"6800",414,"2600",2015,D,B
China,"Jiamusi, HL","1089000",2015,"1020000",31,"35100",80,"13600",2010,C,B
United States,"Raleigh, NC","1085000",2015,"885000",518,"1700","1342",8002010,A,A
United States,"Salt Lake City, UT","1085000",2015,"1021000",278,"3700",720,"1500",2010,A,A
United States,"Nashville, TN","1081000",2015,"970000",563,"1700","1458",7002010,A,A
India,"Mysore, KA","1078000",2015,"988000",35,"30800",91,"11900",2011,A,B
China,"Xinxiang, HEN","1074000",2015,"990000",40,"26900",104,"10400",2010,C,B
Turkey,Antalya,"1070000",2015,"1070000",70,"15300",181,"5900",2015,D,B
Brazil,Natal,"1064000",2015,"975000",95,"11200",246,"4300",2010,C,B
Brazil,Joao Pessoa,"1052000",2015,"975000",75,"14000",194,"5400",2010,C,B
China,"Fuzhou, JX","1052000",2015,"690000",26,"40500",67,"15600",2000,C,B
China,"Puning (Jieyang), GD","1043000",2015,"910000",69,"15100",179,"5800",2010,C,B
China,"Zhanjiang, GD","1042000",2015,"940000",32,"32600",83,"12600",2010,C,B
China,"Qinhuangdao, HEB","1041000",2015,"910000",60,"17400",155,"6700",2010,C,B
China,"Zhucheng (Weifang), SD","1041000",2015,"860000",56,"18600",145,"7200",2010,C,B
Canada,"Edmonton, AB","1040000",2015,"960000",330,"2900",855,"1200",2011,A,A
China,"Yichang, HUB","1039000",2015,"870000",25,"41600",65,"16000",2010,C,B
India,"Guwahati, AS","1039000",2015,"969000",27,"38500",70,"14900",2011,A,B
Myanmar,Nay Pyi Taw,"1030000",2015,"1030000",90,"11400",233,"4400",2015,D,H
Colombia,Bucaramanga,"1029000",2015,"850000",23,"44700",60,"17300",2005,C,B
Nigeria,Zaria,"1025000",2015,"960000",34,"30100",88,"11600",2010,F,B
United States,"Louisville, KY-IN","1025000",2015,"973000",477,"2000","1235",8002010,A,A
Russia,Ufa,"1024000",2015,"1020000",65,"15800",168,"6100",2010,C,B
China,"Huzhou, ZJ","1021000",2015,"690000",43,"23700",111,"9200",2000,C,B
India,"Aligarh, UP","1020000",2015,"910000",16,"63800",41,"24600",2011,A,B
Mexico,Aguascalientes,"1020000",2015,"930000",41,"24900",106,"9600",2010,D,B
Nigeria,Kaduna,"1020000",2015,"1020000",59,"17300",153,"6700",2015,D,B
Saudi Arabia,Ad-Dammam,"1019000",2015,"900000",375,"2700",971,"1000",2010,C,B
France,Lille,"1018000",2015,"1000000",108,"9400",280,"3600",2010,C,B
Mexico,Mexicali,"1018000",2015,"930000",78,"13100",202,"5000",2010,D,B
United States,"Richmond, VA","1018000",2015,"954000",492,"1900","1274",8002010,A,A
Ukraine,Odessa,"1010000",2015,"1010000",80,"12600",207,"4900",2015,D,B
Belgium,Antwerp,"1008000",2015,"990000",245,"4100",635,"1600",2011,C,B
China,"Xiangtan, HUN","1007000",2015,"900000",50,"20100",130,"7800",2010,C,B
China,"Zhuzhou, HUN","1007000",2015,"925000",60,"16800",155,"6500",2010,C,B
Japan,Naha,"1007000",2015,"970000",110,"9200",285,"3500",2005,C,B
India,"Moradabad, UP","1004000",2015,"890000",20,"50200",52,"19400",2011,A,B
Bangladesh,Khulna,"1000000",2015,"1000000",27,"37000",70,"14300",2015,D,B
Congo (Dem. Rep.),Kisangani,"1000000",2015,"1000000",22,"45500",57,"17600",2015,D,B
Iraq,Basra,"1000000",2015,"1000000",61,"16400",158,"6300",2015,D,B
Iraq,Sulaimaniya,"1000000",2015,"1000000",24,"41700",62,"16100",2015,D,B
Sierra Leone,Freetown,"1000000",2015,"1000000",35,"28600",91,"11000",2015,D,B
Russia,Volgograd,"999000",2015,"1000000",260,"3800",673,"1500",2010,C,B
Russia,Krasnoyarsk,"998000",2015,"970000",170,"5900",440,"2300",2010,C,B
Argentina,Mendoza,"997000",2015,"942000",95,"10500",246,"4100",2010,C,B
China,"Pingdingshan, HEN","997000",2015,"870000",34,"29300",88,"11300",2010,C,B
France,Nice,"978000",2015,"947000",287,"3400",743,"1300",2010,C,B
India,"Salem, TN","996000",2015,"919000",19,"52400",49,"20200",2011,A,B
Canada,"Ottawa, ON-QC","994000",2015,"934000",194,"4800",502,"2000",2011,A,A
Colombia,Cartagena,"992000",2015,"800000",36,"27600",93,"10600",2005,C,B
India,"Solapur, MH","991000",2015,"951000",21,"47200",54,"18200",2011,A,B
Mexico,Cuernavaca,"990000",2015,"990000",66,"15000",171,"5800",2015,D,B
South Korea,Changwon,"990000",2015,"1000000",40,"24800",104,"9600",2010,C,B
China,"Hengyang, HUN","987000",2015,"850000",23,"42900",60,"16600",2010,C,B
India,"Bhubaneswar, OR","984000",2015,"882000",28,"35100",73,"13600",2011,A,B
China,"Daqing, HL","983000",2015,"870000",45,"21800",117,"8400",2010,C,B
Viet Nam,Hai Phong,"983000",2015,"700000",25,"39300",65,"15200",2005,C,B
United Arab Emirates,Abu Dhabi,"982000",2015,"800000",340,"2900",881,"1100",2010,L,B
Nicaragua,Managua,"980000",2015,"940000",60,"16300",155,"6300",2010,C,B
Brazil,Maceio,"977000",2015,"900000",45,"21700",117,"8400",2010,C,B
Laos,Vientiane,"975000",2015,"975000",50,"19500",130,"7500",2015,D,B
Norway,Oslo,"975000",2015,"926000",112,"8300",290,"3400",2012,A,A
Russia,Perm,"974000",2015,"990000",130,"7500",337,"2900",2010,D,B
China,"Zhenjiang, JS","969000",2015,"875000",94,"10300",243,"4000",2010,C,B
China,"Bengbu, AH","961000",2015,"900000",65,"14800",168,"5700",2010,C,B
United States,"Hartford, CT","960000",2015,"925000",516,"1800","1336",7002010,A,A
Brazil,Teresina,"950000",2015,"950000",85,"11200",220,"4300",2015,D,B
Congo,Pointe Noire,"950000",2015,"950000",39,"24400",101,"9400",2015,D,B
Mauritania,Nouakchott,"950000",2015,"950000",33,"28800",85,"11100",2015,C,B
Ukraine,Dnipropetrovsk,"950000",2015,"950000",125,"7600",324,"2900",2015,D,B
Viet Nam,Da Nang,"950000",2015,"950000",25,"38000",65,"14700",2015,D,B
China,"Guilin, GX","949000",2015,"875000",41,"23100",106,"8900",2010,C,B
India,"Jalandhar, PB","948000",2015,"874000",22,"43100",57,"16600",2011,A,B
China,"Tongxiang (Jiaxing), ZJ","946000",2015,"510000",20,"47300",52,"18300",2000,C,B
China,"Fuxin, LN","944000",2015,"890000",48,"19700",124,"7600",2010,C,B
Mexico,Chihuahua,"940000",2015,"940000",64,"14700",166,"5700",2015,D,B
Nigeria,Aba,"940000",2015,"940000",35,"26900",91,"10400",2015,D,B
China,"Rizhao, SD","937000",2015,"800000",57,"16400",148,"6300",2010,C,B
China,"Yancheng, JS","935000",2015,"750000",80,"11700",207,"4500",2010,C,B
Mexico,Culiacan,"935000",2015,"840000",41,"22800",106,"8800",2010,C,B
Morocco,Tanger,"934000",2015,"790000",37,"25200",96,"9700",2010,D,B
China,"Baoji, SAA","933000",2015,"815000",28,"33300",73,"12900",2010,D,B
Ukraine,Donetsk,"930000",2015,"930000",174,"5300",451,"2100",2015,D,B
Nigeria,Maiduguri,"925000",2015,"851000",60,"15400",155,"6000",2011,D,B
United States,"Buffalo, NY","923000",2015,"936000",380,"2500",9849002010,A,A
Venezuela,Barquisimeto,"923000",2015,"900000",75,"12300",194,"4800",2011,C,B
China,"Jinzhou, LN","922000",2015,"840000",30,"30700",78,"11900",2010,C,B
France,Toulouse,"922000",2015,"865000",313,"2900",811,"1100",2010,C,B
United States,"New Orleans, LA","922000",2015,"900000",251,"3600",650,"1400",2010,A,A
China,"Mudanjiang, HL","920000",2015,"850000",42,"21900",109,"8500",2010,C,B
Turkey,Diyarbakir,"920000",2015,"920000",24,"38300",62,"14800",2015,D,B
Mexico,Saltillo,"917000",2015,"820000",84,"10900",218,"4200",2010,D,B
United States,"Oklahoma City, OK","917000",2015,"862000",411,"2100","1064",9002010,A,A
Brazil,Florianopolis,"915000",2015,"800000",70,"13100",181,"5000",2010,C,B
Argentina,Tucuman,"910000",2015,"910000",44,"20700",114,"8000",2015,D,B
China,"Kashi, XJ","910000",2010,"750000",50,"18200",130,"7000",2010,C,B
Pakistan,Bahawalpur,"910000",2015,"910000",23,"39600",60,"15300",2015,D,B
Indonesia,Bandar Lampung,"909000",2015,"825000",41,"22200",106,"8600",2010,C,B
Nigeria,Enugu,"906000",2015,"807000",30,"30200",78,"11700",2011,D,B
United States,"Tucson, AZ","902000",2015,"843000",353,"2400",914,"1000",2010,A,A
Malawi,Lilongwe,"900000",2015,"900000",27,"33300",70,"12900",2015,D,B
South Korea,Ulsan,"900000",2015,"900000",40,"22500",104,"8700",2015,D,B
Turkey,Kayseri,"900000",2015,"900000",39,"23100",101,"8900",2015,D,B
Nigeria,Ilorin,"899000",2015,"814000",32,"28100",83,"10800",2011,D,B
Russia,Voronezh,"897000",2015,"880000",61,"14700",158,"5700",2010,C,B
Iran,Kermanshah,"890000",2015,"840000",40,"22300",104,"8600",2011,C,B
China,"Benxi, LN","888000",2015,"825000",45,"19700",117,"7600",2010,C,B
China,"Fuqing (Fuzhou), FJ","888000",2015,"800000",85,"10400",220,"4000",2010,C,B
Philippines,Angeles City,"883000",2015,"800000",72,"12300",186,"4700",2010,C,B
United Kingdom,Southampton-Portsmouth,"883000",2015,"856000",74,"11500",192,"4600",2011,A,A
Iraq,Najaf,"880000",2015,"880000",34,"25900",88,"10000",2015,D,B
Yemen,Aden,"880000",2015,"880000",19,"46300",49,"17900",2015,D,B
France,Bordeaux,"878000",2015,"830000",453,"1900","1173",7002010,C,B
Mexico,Acapulco,"875000",2015,"875000",33,"26500",85,"10200",2015,D,B
United Kingdom,Liverpool,"875000",2015,"864000",77,"11200",200,"4400",2011,A,A
Indonesia,Padang,"874000",2015,"800000",39,"22400",101,"8700",2010,C,B
Chile,Valparaíso-Vina del Mar,"872000",2015,"840000",62,"14100",161,"5400",2010,C,B
China,"Tongliao, NM","872000",2015,"770000",65,"13400",168,"5200",2010,C,B
Benin,Cotonou,"871000",2015,"840000",80,"10900",207,"4200",2010,F,B
United States,"El Paso, TX-NM","865000",2015,"803000",251,"3200",650,"1300",2010,A,A
Poland,Gdansk,"853000",2015,"850000",125,"6800",324,"2600",2011,C,B
Nigeria,Jos,"851000",2015,"772000",27,"31500",70,"12200",2011,D,B
Algeria,Wahran,"850000",2015,"850000",36,"23600",93,"9100",2015,D,B
Honduras,San Pedro Sula,"850000",2015,"850000",51,"16700",132,"6400",2015,D,B
Kyrgyzstan,Bishkek,"850000",2015,"850000",70,"12100",181,"4700",2015,D,B
Peru,Arequipa,"850000",2015,"850000",75,"11300",194,"4400",2015,D,B
Turkey,Mersin,"850000",2015,"850000",29,"29300",75,"11300",2015,D,B
India,"Warangal, AP","843000",2015,"760000",34,"24800",88,"9600",2011,A,B
United States,"Honolulu, HI","842000",2015,"802000",170,"4700",440,"1900",2010,A,A
Congo (Dem. Rep.),Bukavu,"840000",2015,"800000",17,"49400",44,"19100",2014,D,B
Israel,Jerusalem,"840000",2015,"840000",90,"9300",233,"3600",2015,D,B
Italy,Bergamo,"840000",2015,"840000",100,"8400",259,"3200",2015,D,B
Mexico,Cancun,"840000",2015,"840000",39,"21500",101,"8300",2015,D,B
Nigeria,Uyo,"840000",2015,"840000",40,"21000",104,"8100",2015,D,B
Mexico,Reynosa,"839000",2015,"730000",65,"12900",168,"5000",2010,D,B
United States,"McAllen, TX","838000",2015,"729000",358,"2000",9279002010,A,A
Brazil,Campo Grande,"834000",2015,"775000",81,"10300",210,"4000",2010,C,B
Japan,Shizuoka,"831000",2015,"700000",50,"16600",130,"6400",2010,C,B
Italy,Florence,"830000",2015,"821000",85,"9800",220,"3800",2010,C,B
Tanzania,Mwanza,"830000",2015,"830000",44,"18900",114,"7300",2015,D,B
Greece,Thessaloniki,"828000",2015,"840000",75,"11000",194,"4300",2010,C,B
China,"Maanshan, AH","827000",2015,"710000",75,"11000",194,"4300",2010,C,B
Congo (Dem. Rep.),Goma,"826000",2015,"630000",21,"39300",54,"15200",2010,F,B
Oman,Muscat,"825000",2015,"825000",80,"10300",207,"4000",2015,D,B
China,"Cangnan (Wenzhou), ZJ","823000",2010,"700000",25,"32900",65,"12700",2010,C,B
Tajikistan,Dushanbe,"820000",2015,"820000",97,"8500",251,"3300",2015,D,B
China,"Panzhihua, SC","818000",2015,"770000",20,"40900",52,"15800",2010,C,B
China,"Taian, SD","817000",2015,"750000",45,"18200",117,"7000",2010,D,B
Mexico,Tampico,"812000",2015,"760000",56,"14500",145,"5600",2010,D,B
United States,"Albuquerque, NM","812000",2015,"741000",251,"3000",650,"1200",2010,A,A
China,"Jiaozuo, HEN","809000",2015,"770000",50,"16200",130,"6200",2010,C,B
China,"Jieyang, GD","809000",2015,"660000",75,"10800",194,"4200",2010,C,B
India,"Siliguri, WB","809000",2015,"700000",17,"47600",44,"18400",2011,A,B
Japan,Niigata,"808000",2015,"800000",86,"9400",223,"3600",2005,C,B
Argentina,La Plata,"805000",2015,"750000",88,"9100",228,"3500",2010,A,B
Chile,Concepcion,"803000",2015,"750000",41,"19600",106,"7600",2010,C,B
China,"Changzhi, SAX","803000",2015,"710000",40,"20100",104,"7800",2010,C,B
China,"Danyang (Zhenjiang), JS","802000",2015,"675000",28,"28600",73,"11100",2010,C,B
Malawi,Blantyre,"800000",2015,"800000",39,"20500",101,"7900",2015,D,B
China,"Dandong, LN","799000",2015,"750000",45,"17800",117,"6900",2010,C,B
India,"Dehradun, UK","799000",2015,"714000",44,"18200",114,"7000",2011,A,B
Philippines,Zamboanga,"797000",2015,"700000",21,"38000",54,"14700",2010,C,B
Russia,Krasnodar,"793000",2015,"740000",70,"11300",181,"4400",2010,C,B
United Kingdom,Newcastle upon Tyne,"793000",2015,"775000",70,"11100",181,"4400",2011,A,A
China: Taiwan,Hsinchu,"792000",2015,"650000",45,"17600",117,"6800",2004,C,B
Central African Rep.,Bangui,"790000",2015,"790000",43,"18400",111,"7100",2015,D,B
China,"Leshan, SC","790000",2015,"600000",17,"46500",44,"17900",2007,C,B
India,"Bhiwandi, MH","790000",2015,"737000",20,"39500",52,"15300",2011,A,B
Peru,Trujillo,"790000",2015,"790000",33,"23900",85,"9200",2015,D,B
United States,"Birmingham, AL","790000",2015,"749000",530,"1400","1373",6002010,A,A
Angola,Lubango,"787000",2015,"600000",60,"13100",155,"5100",2010,F,B
Indonesia,Tasikmalaya,"787000",2015,"600000",15,"52500",39,"20300",2010,C,B
Switzerland,Zurich,"785000",2015,"735000",95,"8300",246,"3200",2009,C,B
China,"Ganzhou, JX","780000",2015,"600000",47,"16600",122,"6400",2010,C,B
Japan,Otsu,"779000",2010,"775000",117,"6700",303,"2600",2010,C,B
Angola,Lobito,"778000",2010,"600000",30,"25900",78,"10000",2010,F,B
Angola,Benguela,"777000",2013,"700000",35,"22200",91,"8600",2013,F,B
Colombia,Cucuta,"777000",2015,"660000",39,"19900",101,"7700",2005,C,B
Brazil,Aracaju,"776000",2015,"710000",45,"17200",117,"6700",2010,C,B
Russia,Saratov,"772000",2015,"800000",87,"8900",225,"3400",2010,C,B
United States,"Omaha, NE-IA","772000",2015,"725000",271,"2700",702,"1100",2010,A,A
