"city name","country name","most active airport","long. most active airport","lat. most active airport","number of routes","number incoming flights","number outcoming flights","number incoming domestic flights","number outcoming domestic flights","number incoming international flights","number outcoming international flights","only domestic flights","average distance","max. distance","airportCode"
Shizuoka,Japan,Mt. Fuji Shizuoka Airport,138.315,35.326,22,11,12,5,5,6,6,0,1100,1550,FSZ
Nizhniy Novgorod,Russia,Nizhny Novgorod,44.306,56.383,22,11,11,4,4,7,7,0,1685,2673,GOJ
Santa Maria,United States,Santa Maria Airport,-120.095,35.498,22,11,12,11,11,0,0,1,271,501,RIA
Petropavlovsk,Russia,Yelizovo,158.756,53.279,22,11,11,11,11,0,0,1,3256,6728,PKC
Nausori,Fiji,Nausori Intl,178.932,-17.406,22,11,12,8,8,3,3,0,486,2135,SUV
South Bend,United States,South Bend Rgnl,-85.863,42.181,22,11,12,11,11,0,0,1,973,2552,SBN
Babelthuap,Palau,Babelthuap,134.907,7.612,22,11,11,0,0,11,11,0,2068,3453,ROR
Kirkwall,United Kingdom,Kirkwall,-2.842,59.596,22,11,12,11,11,0,0,1,132,356,KOI
Kumamoto,Japan,Kumamoto,131.425,33.395,22,11,12,9,9,2,2,0,655,899,KMJ
Tirgu Mures,Romania,Transilvania Targu Mures,24.687,46.779,22,11,12,2,2,9,9,0,1144,2326,TGM
Ancona,Italy,Falconara,13.603,44.027,22,11,11,1,2,10,9,0,869,2533,AOI
Pasco,United States,Tri Cities Airport,-118.532,46.441,22,11,11,11,11,0,0,1,1184,1990,PSC
Redmond-Bend,United States,Roberts Fld,-120.584,44.423,22,11,12,11,11,0,0,1,604,1393,RDM
Nouakschott,Mauritania,Nouakchott,-15.914,18.163,22,11,12,1,1,10,10,0,1630,3825,NKC
Bastia,France,Poretta,9.806,42.921,22,11,11,11,11,0,0,1,495,861,BIA
Ajaccio,France,Campo Dell Oro,9.338,42.539,22,11,11,11,11,0,0,1,493,875,AJA
Navegantes,Brazil,Ministro Victor Konder Intl,-48.419,-26.8,22,11,11,11,11,0,0,1,649,2872,NVT
Muenster/osnabrueck,Germany,Munster Osnabruck,8.141,52.224,22,11,11,7,7,4,4,0,1260,3360,FMO
Erbil,Iraq,Erbil Intl,44.605,36.396,22,11,12,0,0,11,11,0,1767,3375,EBL
Bermuda,Bermuda,Bermuda Intl,-64.465,32.606,22,11,11,0,0,11,11,0,1826,5509,BDA
Maracaibo,Venezuela,La Chinita Intl,-71.547,10.93,22,11,12,9,9,2,2,0,694,1918,MAR
Port Hartcourt,Nigeria,Port Harcourt Intl,7.582,5.025,22,11,12,11,11,0,0,1,462,496,PHC
Agartala,India,Agartala,91.4,24.478,22,11,12,11,11,0,0,1,265,324,IXA
Imphal,India,Imphal,94.494,25.266,22,11,12,11,11,0,0,1,348,631,IMF
Tarija,Bolivia,Capitan Oriel Lea Plaza,-64.503,-21.26,22,11,12,11,11,0,0,1,415,654,TJA
Klagenfurt,Austria,Woerthersee International Airport,14.562,47.07,22,11,12,1,1,10,10,0,674,1470,KLU
Nantong,China,Nantong Airport,121.626,32.118,22,11,11,11,11,0,0,1,988,1400,NTG
Castries,Saint Lucia,George F L Charles,-60.989,14.033,22,11,12,0,0,11,11,0,264,698,SLU
Ladag,Philippines,Cagayan De Oro,125.018,8.692,22,11,12,11,11,0,0,1,438,810,CGY
Sialkot,Pakistan,Sialkot Airport,74.606,32.892,21,11,11,3,3,8,7,0,1851,3665,SKT
Farmington,United States,Four Corners Rgnl,-107.717,37.235,21,11,11,11,10,0,0,1,400,454,FMN
Yiwu,China,Yiwu Airport,120.053,29.574,21,10,12,10,11,0,0,1,953,1492,YIW
Mudanjiang,China,Mudanjiang,129.948,44.873,21,10,12,8,9,2,2,0,1079,1654,MDG
Port Elizabeth,South Africa,Port Elizabeth Intl,26.028,-33.975,21,11,11,11,10,0,0,1,764,962,PLZ
Aniak,United States,Aniak Airport,-159.239,61.969,21,10,12,10,11,0,0,1,247,493,ANI
Galena,United States,Edward G Pitka Sr,-156.896,65.226,21,10,12,10,11,0,0,1,208,556,GAL
Acapulco,Mexico,General Juan N Alvarez Intl,-99.59,17.261,21,11,10,8,7,3,3,0,1159,3980,ACA
Cuzco,Peru,Teniente Alejandro Velasco Astete Intl,-71.898,-13.227,21,10,11,9,10,1,1,0,438,562,CUZ
Arequipa,Peru,Rodriguez Ballon,-71.306,-15.902,21,11,10,9,9,2,1,0,462,756,AQP
Luang Prabang,Laos,Luang Phabang Intl,102.267,20.496,20,10,11,2,2,8,8,0,538,789,LPQ
Benghazi,Libya,Benina,20.449,32.161,20,10,10,2,2,8,8,0,1244,3146,BEN
Parauapebas,Brazil,Carajas Airport,-49.34,-5.53,20,10,10,10,10,0,0,1,596,1647,CKS
Malmoe,Sweden,Sturup,13.619,55.883,20,10,11,4,4,6,6,0,699,1265,MMX
Atyrau,Kazakhstan,Atyrau,52.368,47.203,20,10,10,7,7,3,3,0,1286,3365,GUW
Newport News,United States,Newport News Williamsburg Intl,-76.155,37.219,20,10,11,10,10,0,0,1,657,1041,PHF
Mahe,Seychelles,Seychelles Intl,55.869,-4.458,20,10,11,1,1,9,9,0,3380,7542,SEZ
Lansing,United States,Capital City,-84.313,43.297,20,10,10,7,7,3,3,0,1292,3111,LAN
Roatan,Honduras,Juan Manuel Galvez Intl,-86.205,16.528,20,10,11,6,6,4,4,0,703,1961,RTB
Myrtle Beach,United States,Myrtle Beach Intl,-78.881,34.132,20,10,11,10,10,0,0,1,711,1199,MYR
Zhanjiang,China,Zhanjiang Airport,110.596,21.357,20,10,11,9,9,1,1,0,1168,2173,ZHA
Changzhi,China,Changzhi Airport,113.21,36.412,20,10,10,10,10,0,0,1,703,1418,CIH
Alesund,Norway,Vigra,6.183,62.933,20,10,10,6,6,4,4,0,798,2754,AES
Yulin,China,Yulin Airport,110.218,38.448,20,10,11,10,10,0,0,1,930,2218,UYN
Kobe,Japan,Kobe,135.373,35.054,20,10,11,10,10,0,0,1,742,1194,UKB
Chah Bahar,Iran,Chah Bahar,60.636,25.738,20,10,11,8,8,2,2,0,796,1445,ZBR
Rasht,Iran,Rasht,50.009,37.542,20,10,11,10,10,0,0,1,723,1290,RAS
Kristiansand,Norway,Kjevik,8.142,58.34,20,10,11,6,6,4,4,0,406,672,KRS
Turku,Finland,Turku,22.438,60.856,20,10,11,2,2,8,8,0,370,762,TKU
Clermont Ferrand,France,Auvergne,3.281,46.311,20,10,11,7,7,3,3,0,418,806,CFE
Karlsruhe/Baden-Baden,Germany,Baden Airpark,8.134,49.298,20,10,10,2,2,8,8,0,1538,3143,FKB
Great Exuma,Bahamas,Exuma Intl,-75.797,23.937,20,10,10,5,5,5,5,0,593,2268,GGT
Flint,United States,Bishop International,-83.573,43.609,20,10,10,10,10,0,0,1,920,1867,FNT
Tallahassee,United States,Tallahassee Rgnl,-83.918,30.66,20,10,11,10,10,0,0,1,594,1216,TLH
Lubbock,United States,Lubbock Preston Smith Intl,-101.705,34.106,20,10,11,10,10,0,0,1,723,1192,LBB
Jacksn Hole,United States,Jackson Hole Airport,-110.563,44.012,20,10,11,10,10,0,0,1,1379,2528,JAC
Fort Wayne,United States,Fort Wayne,-84.659,41.63,20,10,11,10,10,0,0,1,718,1471,FWA
Durango,United States,Durango Intl,-107.59,37.252,20,10,11,8,8,2,2,0,840,1573,DGO
Chattanooga,United States,Lovell Fld,-84.674,35.058,20,10,10,10,10,0,0,1,678,1090,CHA
Key West,United States,Key West Intl,-81.6,24.926,20,10,10,10,10,0,0,1,481,1161,EYW
Brest,France,Guipavas,-4.031,48.746,20,10,10,10,9,0,1,0,719,1882,BES
Copiapo,Chile,Copiapo,-70,-27,20,10,11,10,10,0,0,1,511,754,CPO
Ciudad Juarez,Mexico,Abraham Gonzalez Intl,-106.048,32.06,20,10,10,10,10,0,0,1,1094,1566,CJS
Inuvik,Canada,Inuvik Mike Zubko,-133.138,68.506,20,10,11,10,10,0,0,1,426,782,YEV
San Andres Island,Colombia,Gustavo Rojas Pinilla,-81.519,12.972,20,10,10,9,9,1,1,0,922,1229,ADZ
Sept-iles,Canada,Sept Iles,-65.776,50.372,20,10,11,10,10,0,0,1,478,770,YZV
Wabush,Canada,Wabush,-66.775,53.536,20,10,11,10,10,0,0,1,448,990,YWK
Iloilo,Philippines,Iloilo,122.908,11.188,20,10,11,10,10,0,0,1,391,562,ILO
Karratha,Australia,Karratha,117.288,-20.521,19,10,9,10,9,0,0,1,1570,3711,KTA
Umea,Sweden,Umea,20.471,64.319,19,10,10,7,6,3,3,0,436,811,UME
Chandigarh,India,Chandigarh,77.314,31.122,19,10,10,10,9,0,0,1,634,1386,IXC
Mandalay,Burma,Mandalay Intl,96.629,22.17,19,9,11,7,8,2,2,0,351,775,MDL
Salta,Argentina,Salta,-65.144,-24.76,19,10,9,8,8,2,1,0,908,1290,SLA
Mwanza,Tanzania,Mwanza,33.554,-2.075,19,10,10,8,7,2,2,0,454,828,MWZ
Cucuta,Colombia,Camilo Daza,-72.186,8.545,19,9,11,8,9,1,1,0,346,748,CUC
Nizhnevartovsk,Russia,Nizhnevartovsk,76.806,61.582,19,10,9,10,9,0,0,1,1729,3028,NJC
Lajes (terceira Island),Portugal,Lajes,-26.485,39.269,18,10,9,10,8,0,0,1,469,1540,TER
Huai An,China,Huai An Lianshui Airport,119.246,34.295,18,9,10,9,9,0,0,1,731,1308,HIA
Matsuyama,Japan,Matsuyama,133.166,34.378,18,9,10,5,5,4,4,0,729,1069,MYJ
Rondonopolis,Brazil,Rondonopolis Airport,-54.389,-16.112,18,9,10,9,9,0,0,1,610,1160,ROO
Melilla,Spain,Melilla,-2.928,35.466,18,9,10,9,9,0,0,1,403,801,MLN
Chapeco,Brazil,Chapeco,-52.428,-26.558,18,9,10,9,9,0,0,1,392,449,XAP
Kish Island,Iran,Kish Island,54.633,26.876,18,9,9,8,8,1,1,0,728,1095,KIH
Alta,Norway,Alta,23.619,70.626,18,9,9,9,9,0,0,1,417,1275,ALF
Kano,Nigeria,Mallam Aminu Intl,8.874,12.079,18,9,10,5,3,4,6,0,1780,4507,KAN
Hamilton,New Zealand,Hamilton,175.553,-37.778,18,9,10,4,4,5,5,0,1746,2929,HLZ
Hobart,Australia,Hobart,147.85,-42.727,18,9,10,9,9,0,0,1,1045,1817,HBA
Okayama,Japan,Okayama,134.425,35.261,18,9,10,3,3,6,6,0,1481,2623,OKJ
Gillette,United States,Gillette-Campbell County Airport,-105.233,44.581,18,9,10,9,9,0,0,1,468,657,GCC
Appleton,United States,Appleton,-88.18,44.429,18,9,9,9,9,0,0,1,1024,2409,ATW
Miyazaki,Japan,Miyazaki,131.747,32.462,18,9,9,6,6,3,3,0,761,1296,KMI
Mount Hagen,Papua New Guinea,Mount Hagen,144.493,-5.712,18,9,10,9,9,0,0,1,295,489,HGU
Ulan Bator,Mongolia,Chinggis Khaan Intl,107.277,48.405,18,9,10,0,0,9,9,0,2480,4573,ULN
Connaught,Ireland,Connaught,-8.698,54.517,18,9,10,0,0,9,9,0,1071,3003,
Bakhtaran,Iran,Shahid Ashrafi Esfahani,47.263,34.576,18,9,9,7,7,2,2,0,674,1295,KSH
Yazd,Iran,Yazd Shahid Sadooghi,54.46,32.508,18,9,9,8,8,1,1,0,656,1643,AZD
Pescara,Italy,Pescara,14.301,42.719,18,9,10,3,3,6,6,0,872,1478,PSR
Ronchi De Legionari,Italy,Ronchi Dei Legionari,13.787,46.379,18,9,10,5,5,4,4,0,624,1174,TRS
Bellingham,United States,Bellingham Intl,-122.23,49.321,18,9,9,9,9,0,0,1,1802,4397,BLI
King Salmon,United States,King Salmon,-156.416,59.127,18,9,9,9,9,0,0,1,183,428,AKN
